Liga,Fecha,Equipo_Local,Equipo_Visitante,Goles_Local,Goles_Visitante,Resultado,Diferencia_Goles
English Second,2021-08-17,Peterboro,Cardiff,2,2,D,0
English Second,2021-08-17,Swansea,Stoke,1,3,A,-2
English Second,2021-08-17,Reading,Bristol City,2,3,A,-1
English Second,2021-08-14,Peterboro,Derby,2,1,H,1
English Second,2021-08-14,Barnsley,Coventry,1,0,H,1
English Second,2021-08-14,Birmingham,Stoke,0,0,D,0
English Second,2021-08-14,Blackpool,Cardiff,0,2,A,-2
English Second,2021-08-14,Huddersfield,Fulham,1,5,A,-4
English Second,2021-08-14,Hull,QPR,0,3,A,-3
English Second,2021-08-14,Middlesbrough,Bristol City,2,1,H,1
English Second,2021-08-14,Millwall,Blackburn,1,1,D,0
English Second,2021-08-14,Nott'm Forest,Bournemouth,1,2,A,-1
English Second,2021-08-14,Reading,Preston,2,1,H,1
English Second,2021-08-14,West Brom,Luton,3,2,H,1
English Second,2021-08-14,Swansea,Sheffield United,0,0,D,0
English Second,2021-08-08,Fulham,Middlesbrough,1,1,D,0
English Second,2021-08-08,Coventry,Nott'm Forest,2,1,H,1
English Second,2021-08-07,Blackburn,Swansea,2,1,H,1
English Second,2021-08-07,Bristol City,Blackpool,1,1,D,0
English Second,2021-08-07,Cardiff,Barnsley,1,1,D,0
English Second,2021-08-07,Derby,Huddersfield,1,1,D,0
English Second,2021-08-07,Luton,Peterboro,3,0,H,3
English Second,2021-08-07,Preston,Hull,1,4,A,-3
English Second,2021-08-07,QPR,Millwall,1,1,D,0
English Second,2021-08-07,Stoke,Reading,3,2,H,1
English Second,2021-08-07,Sheffield United,Birmingham,0,1,A,-1
English Second,2021-08-06,Bournemouth,West Brom,2,2,D,0
English Second,2021-05-08,Barnsley,Norwich,2,2,D,0
English Second,2021-05-08,Blackburn,Birmingham,5,2,H,3
English Second,2021-05-08,Bournemouth,Stoke,0,2,A,-2
English Second,2021-05-08,Bristol City,Brentford,1,3,A,-2
English Second,2021-05-08,Cardiff,Rotherham,1,1,D,0
English Second,2021-05-08,Coventry,Millwall,6,1,H,5
English Second,2021-05-08,Derby,Sheffield Weds,3,3,D,0
English Second,2021-05-08,Middlesbrough,Wycombe,0,3,A,-3
English Second,2021-05-08,Nott'm Forest,Preston,1,2,A,-1
English Second,2021-05-08,QPR,Luton,3,1,H,2
English Second,2021-05-08,Reading,Huddersfield,2,2,D,0
English Second,2021-05-08,Watford,Swansea,2,0,H,2
English Second,2021-05-04,Luton,Rotherham,0,0,D,0
English Second,2021-05-01,Sheffield Weds,Nott'm Forest,0,0,D,0
English Second,2021-05-01,Birmingham,Cardiff,0,4,A,-4
English Second,2021-05-01,Brentford,Watford,2,0,H,2
English Second,2021-05-01,Huddersfield,Coventry,1,1,D,0
English Second,2021-05-01,Luton,Middlesbrough,1,1,D,0
English Second,2021-05-01,Millwall,Bristol City,4,1,H,3
English Second,2021-05-01,Norwich,Reading,4,1,H,3
English Second,2021-05-01,Preston,Barnsley,2,0,H,2
English Second,2021-05-01,Rotherham,Blackburn,1,1,D,0
English Second,2021-05-01,Stoke,QPR,0,2,A,-2
English Second,2021-05-01,Swansea,Derby,2,1,H,1
English Second,2021-05-01,Wycombe,Bournemouth,1,0,H,1
English Second,2021-04-27,Brentford,Rotherham,1,0,H,1
English Second,2021-04-25,Reading,Swansea,2,2,D,0
English Second,2021-04-25,Bristol City,Luton,2,3,A,-1
English Second,2021-04-24,Bournemouth,Brentford,0,1,A,-1
English Second,2021-04-24,Barnsley,Rotherham,1,0,H,1
English Second,2021-04-24,Blackburn,Huddersfield,5,2,H,3
English Second,2021-04-24,Cardiff,Wycombe,2,1,H,1
English Second,2021-04-24,Coventry,Preston,0,1,A,-1
English Second,2021-04-24,Derby,Birmingham,1,2,A,-1
English Second,2021-04-24,Middlesbrough,Sheffield Weds,3,1,H,2
English Second,2021-04-24,Nott'm Forest,Stoke,1,1,D,0
English Second,2021-04-24,QPR,Norwich,1,3,A,-2
English Second,2021-04-24,Watford,Millwall,1,0,H,1
English Second,2021-04-21,Millwall,Bournemouth,1,4,A,-3
English Second,2021-04-21,Rotherham,Middlesbrough,1,2,A,-1
English Second,2021-04-21,Stoke,Coventry,2,3,A,-1
English Second,2021-04-21,Wycombe,Bristol City,2,1,H,1
English Second,2021-04-21,Birmingham,Nott'm Forest,1,1,D,0
English Second,2021-04-21,Huddersfield,Barnsley,0,1,A,-1
English Second,2021-04-21,Luton,Reading,0,0,D,0
English Second,2021-04-20,Brentford,Cardiff,1,1,D,0
English Second,2021-04-20,Norwich,Watford,0,1,A,-1
English Second,2021-04-20,Preston,Derby,3,0,H,3
English Second,2021-04-20,Sheffield Weds,Blackburn,1,0,H,1
English Second,2021-04-20,Swansea,QPR,0,1,A,-1
English Second,2021-04-18,Rotherham,Birmingham,0,1,A,-1
English Second,2021-04-18,Coventry,Barnsley,2,0,H,2
English Second,2021-04-17,Brentford,Millwall,0,0,D,0
English Second,2021-04-17,Luton,Watford,1,0,H,1
English Second,2021-04-17,Middlesbrough,QPR,1,2,A,-1
English Second,2021-04-17,Nott'm Forest,Huddersfield,0,2,A,-2
English Second,2021-04-17,Sheffield Weds,Bristol City,1,1,D,0
English Second,2021-04-17,Stoke,Preston,0,0,D,0
English Second,2021-04-17,Swansea,Wycombe,2,2,D,0
English Second,2021-04-17,Norwich,Bournemouth,1,3,A,-2
English Second,2021-04-16,Blackburn,Derby,2,1,H,1
English Second,2021-04-16,Reading,Cardiff,1,1,D,0
English Second,2021-04-15,Rotherham,Coventry,0,1,A,-1
English Second,2021-04-13,Huddersfield,Bournemouth,1,2,A,-1
English Second,2021-04-13,Sheffield Weds,Swansea,0,2,A,-2
English Second,2021-04-13,Rotherham,QPR,3,1,H,2
English Second,2021-04-10,Millwall,Swansea,0,3,A,-3
English Second,2021-04-10,Barnsley,Middlesbrough,2,0,H,2
English Second,2021-04-10,Birmingham,Stoke,2,0,H,2
English Second,2021-04-10,Bournemouth,Coventry,4,1,H,3
English Second,2021-04-10,Bristol City,Nott'm Forest,0,0,D,0
English Second,2021-04-10,Cardiff,Blackburn,2,2,D,0
English Second,2021-04-10,Derby,Norwich,0,1,A,-1
English Second,2021-04-10,Huddersfield,Rotherham,0,0,D,0
English Second,2021-04-10,Preston,Brentford,0,5,A,-5
English Second,2021-04-10,QPR,Sheffield Weds,4,1,H,3
English Second,2021-04-10,Wycombe,Luton,1,3,A,-2
English Second,2021-04-09,Watford,Reading,2,0,H,2
English Second,2021-04-06,Brentford,Birmingham,0,0,D,0
English Second,2021-04-06,Norwich,Huddersfield,7,0,H,7
English Second,2021-04-05,Middlesbrough,Watford,1,1,D,0
English Second,2021-04-05,Blackburn,Bournemouth,0,2,A,-2
English Second,2021-04-05,Coventry,Bristol City,3,1,H,2
English Second,2021-04-05,Luton,Barnsley,1,2,A,-1
English Second,2021-04-05,Nott'm Forest,QPR,3,1,H,2
English Second,2021-04-05,Reading,Derby,3,1,H,2
English Second,2021-04-05,Rotherham,Wycombe,0,3,A,-3
English Second,2021-04-05,Stoke,Millwall,1,2,A,-1
English Second,2021-04-05,Swansea,Preston,0,1,A,-1
English Second,2021-04-05,Sheffield Weds,Cardiff,5,0,H,5
English Second,2021-04-03,Huddersfield,Brentford,1,1,D,0
English Second,2021-04-02,Bournemouth,Middlesbrough,3,1,H,2
English Second,2021-04-02,Bristol City,Stoke,0,2,A,-2
English Second,2021-04-02,Cardiff,Nott'm Forest,0,1,A,-1
English Second,2021-04-02,Derby,Luton,2,0,H,2
English Second,2021-04-02,Millwall,Rotherham,1,0,H,1
English Second,2021-04-02,Preston,Norwich,1,1,D,0
English Second,2021-04-02,QPR,Coventry,3,0,H,3
English Second,2021-04-02,Watford,Sheffield Weds,1,0,H,1
English Second,2021-04-02,Wycombe,Blackburn,1,0,H,1
English Second,2021-04-02,Barnsley,Reading,1,1,D,0
English Second,2021-04-02,Birmingham,Swansea,1,0,H,1
English Second,2021-03-20,Brentford,Nott'm Forest,1,1,D,0
English Second,2021-03-20,Barnsley,Sheffield Weds,1,2,A,-1
English Second,2021-03-20,Bristol City,Rotherham,0,2,A,-2
English Second,2021-03-20,Coventry,Wycombe,0,0,D,0
English Second,2021-03-20,Millwall,Middlesbrough,1,0,H,1
English Second,2021-03-20,Norwich,Blackburn,1,1,D,0
English Second,2021-03-20,Preston,Luton,0,1,A,-1
English Second,2021-03-20,Reading,QPR,1,1,D,0
English Second,2021-03-20,Stoke,Derby,1,0,H,1
English Second,2021-03-20,Watford,Birmingham,3,0,H,3
English Second,2021-03-20,Swansea,Cardiff,0,1,A,-1
English Second,2021-03-17,Nott'm Forest,Norwich,0,2,A,-2
English Second,2021-03-17,QPR,Millwall,3,2,H,1
English Second,2021-03-17,Wycombe,Barnsley,1,3,A,-2
English Second,2021-03-17,Birmingham,Reading,2,1,H,1
English Second,2021-03-17,Blackburn,Bristol City,0,0,D,0
English Second,2021-03-17,Sheffield Weds,Huddersfield,1,1,D,0
English Second,2021-03-16,Cardiff,Stoke,0,0,D,0
English Second,2021-03-16,Derby,Brentford,2,2,D,0
English Second,2021-03-16,Luton,Coventry,2,0,H,2
English Second,2021-03-16,Middlesbrough,Preston,2,0,H,2
English Second,2021-03-16,Rotherham,Watford,1,4,A,-3
English Second,2021-03-16,Bournemouth,Swansea,3,0,H,3
English Second,2021-03-14,Sheffield Weds,Norwich,1,2,A,-1
English Second,2021-03-13,Luton,Swansea,0,1,A,-1
English Second,2021-03-13,Birmingham,Bristol City,0,3,A,-3
English Second,2021-03-13,Bournemouth,Barnsley,2,3,A,-1
English Second,2021-03-13,Cardiff,Watford,1,2,A,-1
English Second,2021-03-13,Derby,Millwall,0,1,A,-1
English Second,2021-03-13,Middlesbrough,Stoke,3,0,H,3
English Second,2021-03-13,Nott'm Forest,Reading,1,1,D,0
English Second,2021-03-13,QPR,Huddersfield,0,1,A,-1
English Second,2021-03-13,Wycombe,Preston,1,0,H,1
English Second,2021-03-12,Blackburn,Brentford,0,1,A,-1
English Second,2021-03-10,Barnsley,Derby,0,0,D,0
English Second,2021-03-09,Blackburn,Swansea,1,1,D,0
English Second,2021-03-09,QPR,Wycombe,1,0,H,1
English Second,2021-03-06,Watford,Nott'm Forest,1,0,H,1
English Second,2021-03-06,Barnsley,Birmingham,1,0,H,1
English Second,2021-03-06,Bristol City,QPR,0,2,A,-2
English Second,2021-03-06,Coventry,Derby,1,0,H,1
English Second,2021-03-06,Millwall,Blackburn,0,2,A,-2
English Second,2021-03-06,Norwich,Luton,3,0,H,3
English Second,2021-03-06,Preston,Bournemouth,1,1,D,0
English Second,2021-03-06,Reading,Sheffield Weds,3,0,H,3
English Second,2021-03-06,Stoke,Wycombe,2,0,H,2
English Second,2021-03-06,Swansea,Middlesbrough,2,1,H,1
English Second,2021-03-05,Huddersfield,Cardiff,0,0,D,0
English Second,2021-03-03,Norwich,Brentford,1,0,H,1
English Second,2021-03-03,QPR,Barnsley,1,3,A,-2
English Second,2021-03-03,Watford,Wycombe,2,0,H,2
English Second,2021-03-03,Bristol City,Bournemouth,1,2,A,-1
English Second,2021-03-03,Sheffield Weds,Rotherham,1,2,A,-1
English Second,2021-03-03,Stoke,Swansea,1,2,A,-1
English Second,2021-03-02,Cardiff,Derby,4,0,H,4
English Second,2021-03-02,Coventry,Middlesbrough,1,2,A,-1
English Second,2021-03-02,Huddersfield,Birmingham,1,1,D,0
English Second,2021-03-02,Millwall,Preston,2,1,H,1
English Second,2021-03-02,Nott'm Forest,Luton,0,1,A,-1
English Second,2021-03-02,Reading,Blackburn,1,0,H,1
English Second,2021-02-28,Wycombe,Norwich,0,2,A,-2
English Second,2021-02-27,Bournemouth,Watford,1,0,H,1
English Second,2021-02-27,Barnsley,Millwall,2,1,H,1
English Second,2021-02-27,Birmingham,QPR,2,1,H,1
English Second,2021-02-27,Blackburn,Coventry,1,1,D,0
English Second,2021-02-27,Brentford,Stoke,2,1,H,1
English Second,2021-02-27,Luton,Sheffield Weds,3,2,H,1
English Second,2021-02-27,Middlesbrough,Cardiff,1,1,D,0
English Second,2021-02-27,Preston,Huddersfield,3,0,H,3
English Second,2021-02-27,Rotherham,Reading,0,1,A,-1
English Second,2021-02-27,Swansea,Bristol City,1,3,A,-2
English Second,2021-02-26,Derby,Nott'm Forest,1,1,D,0
English Second,2021-02-24,Barnsley,Stoke,2,0,H,2
English Second,2021-02-24,Brentford,Sheffield Weds,3,0,H,3
English Second,2021-02-24,Swansea,Coventry,1,0,H,1
English Second,2021-02-24,Blackburn,Watford,2,3,A,-1
English Second,2021-02-24,Bournemouth,Cardiff,1,2,A,-1
English Second,2021-02-24,Preston,QPR,0,0,D,0
English Second,2021-02-23,Birmingham,Norwich,1,3,A,-2
English Second,2021-02-23,Derby,Huddersfield,2,0,H,2
English Second,2021-02-23,Middlesbrough,Bristol City,1,3,A,-2
English Second,2021-02-23,Luton,Millwall,1,1,D,0
English Second,2021-02-23,Rotherham,Nott'm Forest,0,1,A,-1
English Second,2021-02-23,Wycombe,Reading,1,0,H,1
English Second,2021-02-20,Coventry,Brentford,2,0,H,2
English Second,2021-02-20,Bristol City,Barnsley,0,1,A,-1
English Second,2021-02-20,Cardiff,Preston,4,0,H,4
English Second,2021-02-20,Huddersfield,Swansea,4,1,H,3
English Second,2021-02-20,Millwall,Wycombe,0,0,D,0
English Second,2021-02-20,Norwich,Rotherham,1,0,H,1
English Second,2021-02-20,Nott'm Forest,Blackburn,1,0,H,1
English Second,2021-02-20,QPR,Bournemouth,2,1,H,1
English Second,2021-02-20,Reading,Middlesbrough,0,2,A,-2
English Second,2021-02-20,Sheffield Weds,Birmingham,0,1,A,-1
English Second,2021-02-20,Stoke,Luton,3,0,H,3
English Second,2021-02-19,Watford,Derby,2,1,H,1
English Second,2021-02-17,Coventry,Norwich,0,2,A,-2
English Second,2021-02-17,Millwall,Birmingham,2,0,H,2
English Second,2021-02-17,QPR,Brentford,2,1,H,1
English Second,2021-02-17,Swansea,Nott'm Forest,1,0,H,1
English Second,2021-02-17,Barnsley,Blackburn,2,1,H,1
English Second,2021-02-17,Bournemouth,Rotherham,1,0,H,1
English Second,2021-02-16,Preston,Watford,0,1,A,-1
English Second,2021-02-16,Stoke,Sheffield Weds,1,0,H,1
English Second,2021-02-16,Bristol City,Reading,0,2,A,-2
English Second,2021-02-16,Middlesbrough,Huddersfield,2,1,H,1
English Second,2021-02-16,Wycombe,Derby,1,2,A,-1
English Second,2021-02-16,Luton,Cardiff,0,2,A,-2
English Second,2021-02-14,Brentford,Barnsley,0,2,A,-2
English Second,2021-02-13,Nott'm Forest,Bournemouth,0,0,D,0
English Second,2021-02-13,Birmingham,Luton,0,1,A,-1
English Second,2021-02-13,Cardiff,Coventry,3,1,H,2
English Second,2021-02-13,Derby,Middlesbrough,2,1,H,1
English Second,2021-02-13,Huddersfield,Wycombe,2,3,A,-1
English Second,2021-02-13,Norwich,Stoke,4,1,H,3
English Second,2021-02-13,Reading,Millwall,1,2,A,-1
English Second,2021-02-13,Watford,Bristol City,6,0,H,6
English Second,2021-02-12,Blackburn,Preston,1,2,A,-1
English Second,2021-02-10,Reading,Brentford,1,3,A,-2
English Second,2021-02-09,Rotherham,Cardiff,1,2,A,-1
English Second,2021-02-09,Sheffield Weds,Wycombe,2,0,H,2
English Second,2021-02-06,Coventry,Watford,0,0,D,0
English Second,2021-02-06,Bournemouth,Birmingham,3,2,H,1
English Second,2021-02-06,Bristol City,Cardiff,0,2,A,-2
English Second,2021-02-06,Luton,Huddersfield,1,1,D,0
English Second,2021-02-06,Middlesbrough,Brentford,1,4,A,-3
English Second,2021-02-06,Millwall,Sheffield Weds,4,1,H,3
English Second,2021-02-06,Preston,Rotherham,1,2,A,-1
English Second,2021-02-06,QPR,Blackburn,1,0,H,1
English Second,2021-02-06,Stoke,Reading,0,0,D,0
English Second,2021-02-06,Wycombe,Nott'm Forest,0,3,A,-3
English Second,2021-02-05,Swansea,Norwich,2,0,H,2
English Second,2021-02-03,Rotherham,Derby,3,0,H,3
English Second,2021-02-03,Brentford,Bristol City,3,2,H,1
English Second,2021-02-02,Millwall,Norwich,0,0,D,0
English Second,2021-02-02,Bournemouth,Sheffield Weds,1,2,A,-1
English Second,2021-02-02,Coventry,Nott'm Forest,1,2,A,-1
English Second,2021-02-02,Wycombe,Birmingham,0,0,D,0
English Second,2021-02-01,Watford,QPR,1,2,A,-1
English Second,2021-01-30,Norwich,Middlesbrough,0,0,D,0
English Second,2021-01-30,Birmingham,Coventry,1,1,D,0
English Second,2021-01-30,Blackburn,Luton,1,0,H,1
English Second,2021-01-30,Brentford,Wycombe,7,2,H,5
English Second,2021-01-30,Cardiff,Millwall,1,1,D,0
English Second,2021-01-30,Derby,Bristol City,1,0,H,1
English Second,2021-01-30,Huddersfield,Stoke,1,1,D,0
English Second,2021-01-30,Nott'm Forest,Barnsley,0,0,D,0
English Second,2021-01-30,Rotherham,Swansea,1,3,A,-2
English Second,2021-01-30,Sheffield Weds,Preston,1,0,H,1
English Second,2021-01-29,Reading,Bournemouth,3,1,H,2
English Second,2021-01-27,Barnsley,Cardiff,2,2,D,0
English Second,2021-01-27,Coventry,Sheffield Weds,2,0,H,2
English Second,2021-01-27,Middlesbrough,Rotherham,0,3,A,-3
English Second,2021-01-27,Swansea,Brentford,1,1,D,0
English Second,2021-01-26,Bristol City,Huddersfield,2,1,H,1
English Second,2021-01-26,Millwall,Watford,0,0,D,0
English Second,2021-01-24,Preston,Reading,0,0,D,0
English Second,2021-01-24,Middlesbrough,Blackburn,0,1,A,-1
English Second,2021-01-23,QPR,Derby,0,1,A,-1
English Second,2021-01-22,Stoke,Watford,1,2,A,-1
English Second,2021-01-20,Norwich,Bristol City,2,0,H,2
English Second,2021-01-20,Brentford,Luton,1,0,H,1
English Second,2021-01-20,Cardiff,QPR,0,1,A,-1
English Second,2021-01-20,Huddersfield,Millwall,0,1,A,-1
English Second,2021-01-20,Nott'm Forest,Middlesbrough,1,2,A,-1
English Second,2021-01-20,Birmingham,Preston,0,1,A,-1
English Second,2021-01-19,Derby,Bournemouth,1,0,H,1
English Second,2021-01-19,Reading,Coventry,3,0,H,3
English Second,2021-01-19,Rotherham,Stoke,3,3,D,0
English Second,2021-01-19,Watford,Barnsley,1,0,H,1
English Second,2021-01-16,Middlesbrough,Birmingham,0,1,A,-1
English Second,2021-01-16,Blackburn,Stoke,1,1,D,0
English Second,2021-01-16,Bournemouth,Luton,0,1,A,-1
English Second,2021-01-16,Bristol City,Preston,2,0,H,2
English Second,2021-01-16,Cardiff,Norwich,1,2,A,-1
English Second,2021-01-16,Derby,Rotherham,0,1,A,-1
English Second,2021-01-16,Nott'm Forest,Millwall,3,1,H,2
English Second,2021-01-16,Watford,Huddersfield,2,0,H,2
English Second,2021-01-16,Barnsley,Swansea,0,2,A,-2
English Second,2021-01-12,Luton,QPR,0,2,A,-2
English Second,2021-01-12,Bournemouth,Millwall,1,1,D,0
English Second,2021-01-02,Birmingham,Blackburn,0,2,A,-2
English Second,2021-01-02,Huddersfield,Reading,1,2,A,-1
English Second,2021-01-02,Millwall,Coventry,1,2,A,-1
English Second,2021-01-02,Norwich,Barnsley,1,0,H,1
English Second,2021-01-02,Preston,Nott'm Forest,0,1,A,-1
English Second,2021-01-02,Swansea,Watford,2,1,H,1
English Second,2021-01-02,Wycombe,Middlesbrough,1,3,A,-2
English Second,2021-01-02,Stoke,Bournemouth,0,1,A,-1
English Second,2021-01-01,Sheffield Weds,Derby,1,0,H,1
English Second,2020-12-30,Brentford,Bournemouth,2,1,H,1
English Second,2020-12-30,Swansea,Reading,0,0,D,0
English Second,2020-12-29,Birmingham,Derby,0,4,A,-4
English Second,2020-12-29,Sheffield Weds,Middlesbrough,2,1,H,1
English Second,2020-12-29,Huddersfield,Blackburn,2,1,H,1
English Second,2020-12-29,Luton,Bristol City,2,1,H,1
English Second,2020-12-29,Norwich,QPR,1,1,D,0
English Second,2020-12-29,Preston,Coventry,2,0,H,2
English Second,2020-12-29,Rotherham,Barnsley,1,2,A,-1
English Second,2020-12-29,Wycombe,Cardiff,2,1,H,1
English Second,2020-12-29,Stoke,Nott'm Forest,1,1,D,0
English Second,2020-12-26,Barnsley,Huddersfield,2,1,H,1
English Second,2020-12-26,Blackburn,Sheffield Weds,1,1,D,0
English Second,2020-12-26,Bristol City,Wycombe,2,1,H,1
English Second,2020-12-26,Cardiff,Brentford,2,3,A,-1
English Second,2020-12-26,Coventry,Stoke,0,0,D,0
English Second,2020-12-26,Derby,Preston,0,1,A,-1
English Second,2020-12-26,Nott'm Forest,Birmingham,0,0,D,0
English Second,2020-12-26,QPR,Swansea,0,2,A,-2
English Second,2020-12-26,Reading,Luton,2,1,H,1
English Second,2020-12-26,Watford,Norwich,1,0,H,1
English Second,2020-12-19,Norwich,Cardiff,2,0,H,2
English Second,2020-12-19,Birmingham,Middlesbrough,1,4,A,-3
English Second,2020-12-19,Brentford,Reading,3,1,H,2
English Second,2020-12-19,Huddersfield,Watford,2,0,H,2
English Second,2020-12-19,Luton,Bournemouth,0,0,D,0
English Second,2020-12-19,Millwall,Nott'm Forest,1,1,D,0
English Second,2020-12-19,Sheffield Weds,Coventry,1,0,H,1
English Second,2020-12-19,Stoke,Blackburn,1,0,H,1
English Second,2020-12-19,Swansea,Barnsley,2,0,H,2
English Second,2020-12-19,Wycombe,QPR,1,1,D,0
English Second,2020-12-18,Preston,Bristol City,1,0,H,1
English Second,2020-12-16,Derby,Swansea,2,0,H,2
English Second,2020-12-16,Cardiff,Birmingham,3,2,H,1
English Second,2020-12-16,Middlesbrough,Luton,1,0,H,1
English Second,2020-12-16,Blackburn,Rotherham,2,1,H,1
English Second,2020-12-16,Coventry,Huddersfield,0,0,D,0
English Second,2020-12-16,Reading,Norwich,1,2,A,-1
English Second,2020-12-15,QPR,Stoke,0,0,D,0
English Second,2020-12-15,Barnsley,Preston,2,1,H,1
English Second,2020-12-15,Bournemouth,Wycombe,1,0,H,1
English Second,2020-12-15,Bristol City,Millwall,0,2,A,-2
English Second,2020-12-15,Nott'm Forest,Sheffield Weds,2,0,H,2
English Second,2020-12-15,Watford,Brentford,1,1,D,0
English Second,2020-12-12,Cardiff,Swansea,0,2,A,-2
English Second,2020-12-12,Birmingham,Watford,0,1,A,-1
English Second,2020-12-12,Blackburn,Norwich,1,2,A,-1
English Second,2020-12-12,Bournemouth,Huddersfield,5,0,H,5
English Second,2020-12-12,Derby,Stoke,0,0,D,0
English Second,2020-12-12,Luton,Preston,3,0,H,3
English Second,2020-12-12,Middlesbrough,Millwall,3,0,H,3
English Second,2020-12-12,Nott'm Forest,Brentford,1,3,A,-2
English Second,2020-12-12,QPR,Reading,0,1,A,-1
English Second,2020-12-12,Rotherham,Bristol City,2,0,H,2
English Second,2020-12-12,Sheffield Weds,Barnsley,1,2,A,-1
English Second,2020-12-12,Wycombe,Coventry,1,2,A,-1
English Second,2020-12-09,Preston,Middlesbrough,3,0,H,3
English Second,2020-12-09,Barnsley,Wycombe,2,1,H,1
English Second,2020-12-09,Brentford,Derby,0,0,D,0
English Second,2020-12-09,Bristol City,Blackburn,1,0,H,1
English Second,2020-12-09,Norwich,Nott'm Forest,2,1,H,1
English Second,2020-12-09,Reading,Birmingham,1,2,A,-1
English Second,2020-12-08,Coventry,Luton,0,0,D,0
English Second,2020-12-08,Huddersfield,Sheffield Weds,2,0,H,2
English Second,2020-12-08,Millwall,QPR,1,1,D,0
English Second,2020-12-08,Stoke,Cardiff,1,2,A,-1
English Second,2020-12-08,Swansea,Bournemouth,0,0,D,0
English Second,2020-12-08,Watford,Rotherham,2,0,H,2
English Second,2020-12-05,Reading,Nott'm Forest,2,0,H,2
English Second,2020-12-05,Brentford,Blackburn,2,2,D,0
English Second,2020-12-05,Bristol City,Birmingham,0,1,A,-1
English Second,2020-12-05,Coventry,Rotherham,3,1,H,2
English Second,2020-12-05,Huddersfield,QPR,2,0,H,2
English Second,2020-12-05,Millwall,Derby,0,1,A,-1
English Second,2020-12-05,Norwich,Sheffield Weds,2,1,H,1
English Second,2020-12-05,Preston,Wycombe,2,2,D,0
English Second,2020-12-05,Stoke,Middlesbrough,1,0,H,1
English Second,2020-12-05,Swansea,Luton,2,0,H,2
English Second,2020-12-05,Watford,Cardiff,0,1,A,-1
English Second,2020-12-04,Barnsley,Bournemouth,0,4,A,-4
English Second,2020-12-02,Middlesbrough,Swansea,2,1,H,1
English Second,2020-12-02,Blackburn,Millwall,2,1,H,1
English Second,2020-12-02,Luton,Norwich,3,1,H,2
English Second,2020-12-02,Nott'm Forest,Watford,0,0,D,0
English Second,2020-12-02,Sheffield Weds,Reading,1,1,D,0
English Second,2020-12-02,Wycombe,Stoke,0,1,A,-1
English Second,2020-12-01,Cardiff,Huddersfield,3,0,H,3
English Second,2020-12-01,Birmingham,Barnsley,1,2,A,-1
English Second,2020-12-01,Bournemouth,Preston,2,3,A,-1
English Second,2020-12-01,Derby,Coventry,1,1,D,0
English Second,2020-12-01,QPR,Bristol City,1,2,A,-1
English Second,2020-12-01,Rotherham,Brentford,0,2,A,-2
English Second,2020-11-29,Nott'm Forest,Swansea,0,1,A,-1
English Second,2020-11-28,Reading,Bristol City,3,1,H,2
English Second,2020-11-28,Birmingham,Millwall,0,0,D,0
English Second,2020-11-28,Blackburn,Barnsley,2,1,H,1
English Second,2020-11-28,Cardiff,Luton,4,0,H,4
English Second,2020-11-28,Derby,Wycombe,1,1,D,0
English Second,2020-11-28,Huddersfield,Middlesbrough,3,2,H,1
English Second,2020-11-28,Norwich,Coventry,1,1,D,0
English Second,2020-11-28,Rotherham,Bournemouth,2,2,D,0
English Second,2020-11-28,Sheffield Weds,Stoke,0,0,D,0
English Second,2020-11-28,Watford,Preston,4,1,H,3
English Second,2020-11-27,Brentford,QPR,2,1,H,1
English Second,2020-11-25,Middlesbrough,Derby,3,0,H,3
English Second,2020-11-25,Millwall,Reading,1,1,D,0
English Second,2020-11-25,Bristol City,Watford,0,0,D,0
English Second,2020-11-25,Coventry,Cardiff,1,0,H,1
English Second,2020-11-25,Swansea,Sheffield Weds,1,1,D,0
English Second,2020-11-24,Luton,Birmingham,1,1,D,0
English Second,2020-11-24,QPR,Rotherham,3,2,H,1
English Second,2020-11-24,Stoke,Norwich,2,3,A,-1
English Second,2020-11-24,Wycombe,Huddersfield,0,0,D,0
English Second,2020-11-24,Barnsley,Brentford,0,1,A,-1
English Second,2020-11-24,Preston,Blackburn,0,3,A,-3
English Second,2020-11-24,Bournemouth,Nott'm Forest,2,0,H,2
English Second,2020-11-21,Bournemouth,Reading,4,2,H,2
English Second,2020-11-21,Barnsley,Nott'm Forest,2,0,H,2
English Second,2020-11-21,Bristol City,Derby,1,0,H,1
English Second,2020-11-21,Luton,Blackburn,1,1,D,0
English Second,2020-11-21,Middlesbrough,Norwich,0,1,A,-1
English Second,2020-11-21,Millwall,Cardiff,1,1,D,0
English Second,2020-11-21,Preston,Sheffield Weds,1,0,H,1
English Second,2020-11-21,QPR,Watford,1,1,D,0
English Second,2020-11-21,Stoke,Huddersfield,4,3,H,1
English Second,2020-11-21,Swansea,Rotherham,1,0,H,1
English Second,2020-11-21,Wycombe,Brentford,0,0,D,0
English Second,2020-11-20,Coventry,Birmingham,0,0,D,0
English Second,2020-11-07,Reading,Stoke,0,3,A,-3
English Second,2020-11-07,Birmingham,Bournemouth,1,3,A,-2
English Second,2020-11-07,Blackburn,QPR,3,1,H,2
English Second,2020-11-07,Brentford,Middlesbrough,0,0,D,0
English Second,2020-11-07,Derby,Barnsley,0,2,A,-2
English Second,2020-11-07,Huddersfield,Luton,1,1,D,0
English Second,2020-11-07,Norwich,Swansea,1,0,H,1
